v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
12267,Optometristas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,
12269,Prof. Salud n/c,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,7544.37,7544.37,7.98,0.68,8.01,100.0,0.0,46.2,3.88,2.73,56.44,20.01,30.0
12300,Prof. Enseñanza gral,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,366234.49,366234.49,8.87,0.79,8.86,100.0,0.0,71.27,7.37,1.26,47.63,15.03,50.0
12310,Prof. Universitarios y ed superior,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,88486.61,88486.61,9.21,0.71,9.13,100.0,0.0,97.62,8.29,1.11,56.92,15.15,53.0
12320,Prof. Form. Profesional,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,14746.44,14746.44,8.96,0.81,8.92,100.0,0.0,80.28,8.28,1.03,52.88,13.54,52.0
12330,Prof. Secundarios,2. Profesionales,1. Trabajadores  no manuales,"(0.32261, 0.055634, 0.426377, 1.0)",#DF8F44,#cccccc,341284.46,341284.46,8.74,0.68,8.7,100.0,0.0,81.94,7.54,1.21,42.75,13.27,43.0
12340,Maest. Primaria y preescolar,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,556.0,556.0,9.16,0.0,9.16,100.0,0.0,0.0,9.0,0.0,30.0,0.0,30.0
12341,Maest. Primaria,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,467799.54,467799.54,8.72,0.62,8.7,100.0,0.0,82.12,6.84,1.1,49.55,15.48,47.5
12342,Maest. Preescolar,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,119014.21,119014.21,8.68,0.59,8.65,100.0,0.0,62.31,7.26,0.97,43.86,14.73,38.0
12350,Prof. Enseñanza,2. Profesionales,1. Trabajadores  no manuales,"(0.328921, 0.057827, 0.427511, 1.0)",#DF8F44,#cccccc,1207.0,1207.0,9.54,0.0,9.54,100.0,0.0,100.0,9.0,0.0,54.0,0.0,54.0
