v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
12230,Prof. Medicina tradicional y alternativa,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,1360.09,1360.09,,,,100.0,0.0,0.0,,,,,,-851.8291015625,-46.27266311645508,C06
12240,Paramédicos,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12250,Veterinarios,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,25059.29,25059.29,9.66,0.69,9.62,25.48,74.52,6.48,9.0,0.0,47.28,14.55,45.0,-303.4346923828125,-422.5635986328125,C03
12260,Prof. Salud,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12261,Dentistas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,31711.34,31711.34,9.28,0.79,9.13,41.48,58.52,15.29,8.84,0.55,46.76,9.62,44.0,-17.37499237060547,-430.9691162109375,C03
12262,Farmacéuticos,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,26492.0,26492.0,9.18,0.48,8.89,95.98,4.02,0.0,8.95,0.32,51.04,14.36,55.0,-74.1414566040039,-257.3243103027344,C12
12263,Prof. Salud e higiene laboral,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,311.28,311.28,,,,0.0,100.0,0.0,,,,,,-786.3709106445312,-437.41748046875,C23
12264,Fisioterapeutas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,27083.8,27083.8,9.25,0.82,9.39,88.29,11.71,58.18,8.6,0.95,40.74,11.98,38.0,-85.58654022216797,-363.4292297363281,C03
12265,Dietistas y nutricionistas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,15764.38,15764.38,8.7,0.86,8.16,100.0,0.0,61.0,8.81,0.58,47.1,14.43,30.0,-180.12852478027344,-340.8600158691406,C03
12266,Audiólogos y logopedas,2. Profesionales,1. Trabajadores  no manuales,"(0.316282, 0.05349, 0.425116, 1.0)",#DF8F44,#cccccc,12708.2,12708.2,8.99,0.0,8.99,100.0,0.0,31.45,9.0,0.0,45.79,11.56,49.0,-208.83042907714844,-348.277099609375,C03
