algorithm,resolution,score,score_type
infomap,0.13397749677790324,0.8487803519788729,NMI
infomap,0.13397749677790324,0.690913853011854,AMI
infomap,0.13397749677790324,0.7152077938477045,NMI
infomap,0.13397749677790324,0.6741707757621714,AMI
infomap,0.13397749677790324,0.7093413449231263,NMI
infomap,0.13397749677790324,0.4666279198899399,AMI
infomap,0.13397749677790324,0.5266551165783313,NMI
infomap,0.13397749677790324,0.42401748702372,AMI
infomap,0.13397749677790324,0.46725244224532664,NMI
infomap,0.13397749677790324,0.6860830517205888,AMI
infomap,0.13397749677790324,0.708986943708575,NMI
infomap,0.13397749677790324,0.802664880525936,AMI
infomap,0.13397749677790324,0.8150528942391573,NMI
infomap,0.13397749677790324,0.9341191975283196,AMI
infomap,0.13397749677790324,0.9382573346767129,NMI
infomap,0.13397749677790324,0.699304609338603,AMI
infomap,0.13397749677790324,0.7326850983722211,NMI
infomap,0.13397749677790324,0.6063696976966846,AMI
infomap,0.13397749677790324,0.634123189259206,NMI
infomap,0.13397749677790324,0.6508041554110331,AMI
infomap,0.13397749677790324,0.6787920463938302,NMI
infomap,0.13397749677790324,0.8247608091481913,AMI
infomap,0.13397749677790324,0.8351647260947722,NMI
infomap,0.13397749677790324,0.8320610303893974,AMI
infomap,0.13397749677790324,0.8427083564539425,NMI
infomap,0.13397749677790324,0.5777860326492974,AMI
infomap,0.13397749677790324,0.6116579268681868,NMI
infomap,0.13397749677790324,0.5451326468909998,AMI
infomap,0.13397749677790324,0.5732595544996667,NMI
infomap,0.13397749677790324,0.8191223054488573,AMI
infomap,0.13397749677790324,0.8302215353835348,NMI
infomap,0.13397749677790324,0.6050789768369809,AMI
infomap,0.13397749677790324,0.6409765750761346,NMI
infomap,0.13397749677790324,0.7347976057864527,AMI
infomap,0.13397749677790324,0.7543012337863603,NMI
infomap,0.13397749677790324,0.8612758394235522,AMI
infomap,0.13397749677790324,0.8701146366174489,NMI
infomap,0.13397749677790324,0.7284642531057424,AMI
infomap,0.13397749677790324,0.743627647730267,NMI
infomap,0.13397749677790324,0.6393558113051641,AMI
infomap,0.13397749677790324,0.664776363548262,NMI
infomap,0.13397749677790324,0.6945080312668048,AMI
infomap,0.13397749677790324,0.727790684324363,NMI
infomap,0.13397749677790324,0.44151555356602656,AMI
infomap,0.13397749677790324,0.49907278918934417,NMI
infomap,0.13397749677790324,0.3954240625625566,AMI
infomap,0.13397749677790324,0.4380184264375876,NMI
infomap,0.13397749677790324,0.5981690870122681,AMI
infomap,0.13397749677790324,0.6241886062147545,NMI
infomap,0.13397749677790324,0.9041792069325122,AMI
infomap,0.13397749677790324,0.9104807272363595,NMI
infomap,0.13397749677790324,0.8761570929611858,AMI
infomap,0.13397749677790324,0.8828259962928039,NMI
infomap,0.13397749677790324,0.706692101650567,AMI
infomap,0.13397749677790324,0.7384591115839668,NMI
infomap,0.13397749677790324,0.609398078034668,AMI
infomap,0.13397749677790324,0.6356990117736296,NMI
infomap,0.13397749677790324,0.8037138778939086,AMI
infomap,0.13397749677790324,0.817239100038902,NMI
infomap,0.13397749677790324,0.7047632221058281,AMI
infomap,0.13397749677790324,0.7384325050544687,NMI
infomap,0.13397749677790324,0.5401648418973466,AMI
infomap,0.13397749677790324,0.5686565213719861,NMI
infomap,0.13397749677790324,0.7385853449591737,AMI
infomap,0.13397749677790324,0.7533340633570021,NMI
infomap,0.13397749677790324,0.5988574174383731,AMI
infomap,0.13397749677790324,0.6313945509633593,NMI
infomap,0.13397749677790324,0.7209503450055925,AMI
infomap,0.13397749677790324,0.7384687893691881,NMI
infomap,0.13397749677790324,0.8203935038967827,AMI
infomap,0.13397749677790324,0.8326119710449875,NMI
infomap,0.13397749677790324,0.8212764056622479,AMI
infomap,0.13397749677790324,0.8308919771761766,NMI
infomap,0.13397749677790324,0.609558815589028,AMI
infomap,0.13397749677790324,0.6312569123800796,NMI
infomap,0.13397749677790324,0.45868726658076614,AMI
