model_1,model_2,dimension,wasserstein
configuration_model_3,configuration_model_7,0,80.05382386916237
configuration_model_3,configuration_model_7,1,29.09188309203679
configuration_model_3,configuration_model_7,2,24.506096654409887
configuration_model_3,configuration_model_8,0,74.76093065034893
configuration_model_3,configuration_model_8,1,52.305086527633186
configuration_model_3,configuration_model_8,2,18.384776310850235
configuration_model_3,configuration_model_9,0,77.46803743153548
configuration_model_3,configuration_model_9,1,41.556349186104036
configuration_model_3,configuration_model_9,2,24.627416997969526
configuration_model_3,configuration_model_10,0,96.05382386916237
configuration_model_3,configuration_model_10,1,71.71067811865467
configuration_model_3,configuration_model_10,2,51.204581464244825
configuration_model_3,configuration_model_11,0,27.0
configuration_model_3,configuration_model_11,1,63.799134914116905
configuration_model_3,configuration_model_11,2,64.3969696196699
configuration_model_3,configuration_model_12,0,154.93607486307096
configuration_model_3,configuration_model_12,1,38.86348497546931
configuration_model_3,configuration_model_12,2,14.192388155425121
configuration_model_3,configuration_model_13,0,17.0
configuration_model_3,configuration_model_13,1,59.0832611206852
configuration_model_3,configuration_model_13,2,34.69848480983497
configuration_model_3,configuration_model_14,0,31.0
configuration_model_3,configuration_model_14,1,63.39696961966997
configuration_model_3,configuration_model_14,2,51.08326112068521
configuration_model_3,configuration_model_15,0,8.0
configuration_model_3,configuration_model_15,1,35.09188309203679
configuration_model_3,configuration_model_15,2,11.363961030678928
configuration_model_3,configuration_model_16,0,178.10764773832474
configuration_model_3,configuration_model_16,1,59.612222316998434
configuration_model_3,configuration_model_16,2,41.01219330881972
configuration_model_3,configuration_model_17,0,5.0
configuration_model_3,configuration_model_17,1,32.62741699796953
configuration_model_3,configuration_model_17,2,18.384776310850235
configuration_model_3,configuration_model_18,0,147.52186130069785
configuration_model_3,configuration_model_18,1,22.242640687119284
configuration_model_3,configuration_model_18,2,23.50609665440988
configuration_model_3,configuration_model_19,0,75.46803743153548
