algorithm,resolution,num_communities,seed,modularity
infomap,5.187165437288158,13,57408,0.5093257741840607
infomap,5.187165437288158,14,18144,0.5144422002040022
infomap,6.004073899923431,15,43667,0.5070393424759313
infomap,6.004073899923431,14,55824,0.5058343680395017
infomap,6.004073899923431,15,14480,0.49337112205409583
infomap,6.004073899923431,15,57991,0.49346033181232146
infomap,6.004073899923431,13,54596,0.5113606523070265
infomap,6.004073899923431,13,50180,0.5116145063480133
infomap,6.004073899923431,12,50469,0.5174063857487408
infomap,6.004073899923431,13,2110,0.5139852802506238
infomap,6.004073899923431,15,9373,0.504368876914116
infomap,6.004073899923431,13,3289,0.5126247226002992
infomap,6.004073899923431,15,54621,0.5008510157149484
infomap,6.004073899923431,14,21588,0.5127750192577787
infomap,6.004073899923431,13,23019,0.5055245998264661
infomap,6.004073899923431,13,57408,0.5081164962091009
infomap,6.004073899923431,14,18144,0.5140623859570341
infomap,6.949634406607253,15,43667,0.5061876121623172
infomap,6.949634406607253,14,55824,0.5087349478012875
infomap,6.949634406607253,14,14480,0.498012175630469
infomap,6.949634406607253,14,57991,0.5152062143580726
infomap,6.949634406607253,15,54596,0.5051764831433775
infomap,6.949634406607253,16,50180,0.5012562966312953
infomap,6.949634406607253,14,50469,0.5137115597908507
infomap,6.949634406607253,13,2110,0.5123450381672073
infomap,6.949634406607253,143,9373,-0.01370760978883744
infomap,6.949634406607253,14,3289,0.5089740013240224
infomap,6.949634406607253,16,54621,0.48595822140002126
infomap,6.949634406607253,16,21588,0.5039746705794422
infomap,6.949634406607253,15,23019,0.5045167197708147
infomap,6.949634406607253,14,57408,0.509103662202359
infomap,6.949634406607253,15,18144,0.513290410069296
infomap,8.044107915812841,143,43667,-0.013583835926907052
infomap,8.044107915812841,143,55824,-0.013233004374497637
infomap,8.044107915812841,143,14480,-0.013532048538722781
infomap,8.044107915812841,143,57991,-0.013477327539095776
infomap,8.044107915812841,15,54596,0.5051764831433775
infomap,8.044107915812841,143,50180,-0.013592643324932284
infomap,8.044107915812841,143,50469,-0.013523430859480977
infomap,8.044107915812841,143,2110,-0.013790671057185937
infomap,8.044107915812841,143,9373,-0.01370760978883744
infomap,8.044107915812841,14,3289,0.5089740013240224
infomap,8.044107915812841,143,54621,-0.013696007453769162
infomap,8.044107915812841,143,21588,-0.013666162788214966
infomap,8.044107915812841,143,23019,-0.013353386123745982
infomap,8.044107915812841,143,57408,-0.013569164027486029
infomap,8.044107915812841,17,18144,0.5034247767756646
infomap,9.31094621318829,143,43667,-0.013583835926907052
infomap,9.31094621318829,143,55824,-0.013233004374497637
infomap,9.31094621318829,143,14480,-0.013532048538722781
infomap,9.31094621318829,143,57991,-0.013477327539095776
infomap,9.31094621318829,143,54596,-0.013529341451342405
infomap,9.31094621318829,143,50180,-0.013592643324932284
infomap,9.31094621318829,143,50469,-0.013523430859480977
infomap,9.31094621318829,143,2110,-0.013790671057185937
infomap,9.31094621318829,143,9373,-0.01370760978883744
infomap,9.31094621318829,143,3289,-0.013554117499562828
infomap,9.31094621318829,143,54621,-0.013696007453769162
infomap,9.31094621318829,143,21588,-0.013666162788214966
infomap,9.31094621318829,143,23019,-0.013353386123745982
infomap,9.31094621318829,143,57408,-0.013569164027486029
infomap,9.31094621318829,143,18144,-0.01366255622744059
infomap,10.777294423719212,143,43667,-0.013583835926907052
infomap,10.777294423719212,143,55824,-0.013233004374497637
infomap,10.777294423719212,143,14480,-0.013532048538722781
infomap,10.777294423719212,143,57991,-0.013477327539095776
infomap,10.777294423719212,143,54596,-0.013529341451342405
infomap,10.777294423719212,143,50180,-0.013592643324932284
infomap,10.777294423719212,143,50469,-0.013523430859480977
infomap,10.777294423719212,143,2110,-0.013790671057185937
infomap,10.777294423719212,143,9373,-0.01370760978883744
infomap,10.777294423719212,143,3289,-0.013554117499562828
infomap,10.777294423719212,143,54621,-0.013696007453769162
infomap,10.777294423719212,143,21588,-0.013666162788214966
infomap,10.777294423719212,143,23019,-0.013353386123745982
infomap,10.777294423719212,143,57408,-0.013569164027486029
infomap,10.777294423719212,143,18144,-0.01366255622744059
infomap,12.47457266276664,143,43667,-0.013583835926907052
infomap,12.47457266276664,143,55824,-0.013233004374497637
infomap,12.47457266276664,143,14480,-0.013532048538722781
infomap,12.47457266276664,143,57991,-0.013477327539095776
infomap,12.47457266276664,143,54596,-0.013529341451342405
infomap,12.47457266276664,143,50180,-0.013592643324932284
infomap,12.47457266276664,143,50469,-0.013523430859480977
infomap,12.47457266276664,143,2110,-0.013790671057185937
